sale_order_template_id,sequence,company_id,product_id,name,product_uom_id,product_uom_category_id,product_uom_qty,display_type,id,display_name,create_uid,create_date,write_uid,write_date,recurring_invoice
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[35, '[FURN_6741] Large Meeting Table']",False,"[1, 'Units']","[1, 'Unit']",1.0,False,1,False,"[1, 'OdooBot']",2025-03-10 17:09:13,"[1, 'OdooBot']",2025-03-10 17:09:13,False
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[5, '[FURN_7777] Office Chair']",False,"[1, 'Units']","[1, 'Unit']",8.0,False,2,False,"[1, 'OdooBot']",2025-03-10 17:09:13,"[1, 'OdooBot']",2025-03-10 17:09:13,False
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[31, '[FURN_6666] Acoustic Bloc Screens (White)']",False,"[1, 'Units']","[1, 'Unit']",1.0,False,3,False,"[1, 'OdooBot']",2025-03-10 17:09:13,"[1, 'OdooBot']",2025-03-10 17:09:13,False
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[130, 'Chair floor protection']",False,"[1, 'Units']","[1, 'Unit']",8.0,False,4,False,"[1, 'OdooBot']",2025-03-10 17:09:13,"[1, 'OdooBot']",2025-03-10 17:09:13,False
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[38, 'Furniture Assembly']",Furniture Assembly,"[4, 'Hours']","[3, 'Working Time']",1.0,False,9,Furniture Assembly,"[1, 'OdooBot']",2025-03-10 17:10:15,"[1, 'OdooBot']",2025-03-10 17:10:15,False
"[1, 'Office Furnitures']",10,"[1, 'My Company (San Francisco)']","[37, '[Delivery_010] Local Delivery']",Local Delivery,"[1, 'Units']","[1, 'Unit']",1.0,False,10,Local Delivery,"[1, 'OdooBot']",2025-03-10 17:10:15,"[1, 'OdooBot']",2025-03-10 17:10:15,False
"[2, 'Rent Rooms']",10,"[1, 'My Company (San Francisco)']","[170, 'Meeting Room']",False,"[1, 'Units']","[1, 'Unit']",1.0,False,5,False,"[1, 'OdooBot']",2025-03-10 17:10:02,"[1, 'OdooBot']",2025-03-10 17:10:02,False
"[3, 'Monthly Cleaning']",10,"[1, 'My Company (San Francisco)']","[175, 'Office Cleaning Service (SUB)']",Office Cleaning Service (SUB),"[1, 'Units']","[1, 'Unit']",1.0,False,6,Office Cleaning Service (SUB),"[1, 'OdooBot']",2025-03-10 17:10:09,"[1, 'OdooBot']",2025-03-10 17:10:09,True
"[3, 'Monthly Cleaning']",10,"[1, 'My Company (San Francisco)']","[174, 'Registration fee']",Registration fee,"[1, 'Units']","[1, 'Unit']",1.0,False,7,Registration fee,"[1, 'OdooBot']",2025-03-10 17:10:09,"[1, 'OdooBot']",2025-03-10 17:10:09,False
"[4, 'Yearly Cleaning']",10,"[1, 'My Company (San Francisco)']","[175, 'Office Cleaning Service (SUB)']",Office Cleaning Service (SUB),"[1, 'Units']","[1, 'Unit']",2.0,False,8,Office Cleaning Service (SUB),"[1, 'OdooBot']",2025-03-10 17:10:09,"[1, 'OdooBot']",2025-03-10 17:10:09,True
