name,reveal_ids,color,sequence,id,display_name,create_uid,create_date,write_uid,write_date
Consumer Discretionary,"30,155",0,1,1,Consumer Discretionary,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Banks & Insurance,"69,157",0,2,3,Banks & Insurance,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Retailing,152,0,3,11,Retailing,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Consumer Staples,33,0,4,2,Consumer Staples,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Commercial & Professional Services,163,0,5,17,Commercial & Professional Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Capital Goods,162,0,6,16,Capital Goods,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Media,86,0,7,4,Media,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Software & Services,165,0,8,18,Software & Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Consumer Services,"150,151",0,9,10,Consumer Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Consumer Durables & Apparel,239,0,10,23,Consumer Durables & Apparel,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Health Care Equipment & Services,160,0,11,14,Health Care Equipment & Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
"Food, Beverage & Tobacco","153,154",0,12,12,"Food, Beverage & Tobacco","[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
"Pharmaceuticals, Biotechnology & Life Sciences",161,0,13,15,"Pharmaceuticals, Biotechnology & Life Sciences","[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Independent Power and Renewable Electricity Producers,168,0,14,21,Independent Power and Renewable Electricity Producers,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Diversified Financials & Financial Services,"158,159",0,15,13,Diversified Financials & Financial Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Transportation,136,0,16,6,Transportation,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Materials,148,0,17,8,Materials,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Automobiles & Components,238,0,18,22,Automobiles & Components,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Technology Hardware & Equipment,166,0,19,19,Technology Hardware & Equipment,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Telecommunication Services,149,0,20,9,Telecommunication Services,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Real Estate,114,0,21,5,Real Estate,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Energy & Utilities ,138,0,22,7,Energy & Utilities ,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
Construction Materials,167,0,23,20,Construction Materials,"[1, 'OdooBot']",2025-03-10 17:07:37,"[1, 'OdooBot']",2025-03-10 17:07:37
